제목,내용,게시자,게시날짜
1122 새들도 주택난을 겪는다,ㅋㅋㅋㅋㅋㅋ스불재... 악 편의점에는 요거트가 없어요... 내 딸기 요거트... 대신 이거 먹었음요. 딸기요거트 없어서 에잇쉬...하면서 별기대없이 골랐는데 생각보다 고소하고 달달하고 맛있음. ???방금 교수님이랑 콩트함... : 바스크 아세요 바스크? : 치즈케이크요?(머지...,"잘못 찾아오셨어요, 그치만 환영해요",4일 전
익핱해봅니다,스불재입니다(저번에 쓰다 탈주함) 그치만... 이번엔 완주해보겠사와요 초면도O 게시글 사찰해요!!! 순서 랜덤 길이는 제맘입니다^///^ 짧다고 애정 없고 그런게X 그때그때 기분따라 복불복으로 써드려요!!!((그치만 최대한 늘리려고 노력할게욧^~^)) / 막 딸기맛초코케잌...,커미션나라 ★ 글.그림.만화.애니.캐릭터.로고.디자인 외주제작,4일 전
느자마 반띵하자,10과목 18학점 스불재 삶을 살고있는 사람입니다.. 목걸이 손민수하고 일주일동안 과제로 골골거리다가 이상태로라면 포토이즘 못가고 11월이 지나겠구나 싶어서 시간 날때 찍어야겠다 결심했습니다 그리고 그게 술먹은 다음날이지 뭡니까.... 숙취가 있는 상태로 찍다가...,싸이코드 팬카페,4일 전
3일만에 사실상 통금없음 여성이 11시 신데렐라가 된 건에 대하여..,스불재 ㄹㅈㄷ 나진짜 소심관종이라서 .. 조용히 있다가 갑자기 회장하고 그랫어.. 고2때두 진짜 급발진해서 당일 아침에 결심하고 선거 나갓다 그렇게 생기부에 회장 한 줄이 적히고 정시러가됨 숙취이슈 원래이날 장원영이랑 박지민이랑 캐캐체카페 가기로 햇는데 ㅠㅠ...,오늘도 잘 굴러갑니다,4일 전
오늘도 숏 비니,"자의 스불재- 높이만 좀 더 늘려서 후딱 다시 떴는데 너무 만족스럽다! 세탁한 편물에서 풀어낸 실은 완전히 다른 질감 게이지 안 낸 자의 스불재 2탄 ㅠ 지난 포스팅에 떴던 파우더블루도 결국 다 풀어버렸다- 겹쳐잡아 1인치, 총 2인치가량 줄여야 하는 상태여서 어쩔 수...",미로속의 H,4일 전
내 이름의 마지막 글자로 나를 불러주길 원한 까닭은,"아껴도 가난하지만 그와중에도 도전의 아름다움을 아는 나는 또다시 무모하게 무언가를 저지르고 있는 힘껏 사랑하고 스불재에 경악하고는 또 신나게 해결하며 살아갈 겁니다 나는 작은 행복도 커다랗게 느끼는, 작은 사랑도 온몸의 세포가 다 알도록 느끼는 그런 사람이니까요",이기적 박애주의,4일 전
루크 벨말이 20대에 600억을 벌게 된 방법? (찬물 샤워와 같이 불편함을 추구해야 하는 이유),의역하자면 스불재(스스로 불러온 재앙)이라고도 할 수 있겠다. 사보타주가 고용주 몰래 기계를 파괴하는 것을 의미하는 단어이듯 많은 사람들은 의식하지도 못한 채 self-sabotaging을 하고 있다. 현대로 접어들면서 세상은 상상할 수 없을 정도의 기술 발전을...,네오의 이것저것,4일 전
11-1. 개미는 뚠뚠 오늘도 뚠뚠 열심히 일을 하네! 뚠뚠,스불재 중 하나. 크라임씬 준비를 하며 광기에 젖어있었답니다. 별의별 거 다 조작하기.. 이정도면 페이 주세요. 서울대 문서위조 학과... 스불재 22 얼굴 가리기 귀찮아 미안 크라임씬 끝나고 일청공 MT 늦참팟. 집 가고 싶었는데..... 왜 벌써 텐션이 치워 강준범 (오빠임)...,SMILE ◡̎,4일 전
[조와서] 대학원생 창업 일기 [서대#2],"다스리며 스불재(스스로 불러온 재앙) 처리 중에 있습니다. 최근 상도 하나 더 받아왔습니다. 저를 찾아보세요 사업적인 일상과 스토리 올리는 인스타그램이 한 달 전, 69명이었는데 현재는 100명이 넘었어요! 앞으로도 친하게 소통하며 지냅시다. 그럼 저는 또 ...",조와서,4일 전
11월 일기,이 스불재의 얻은 점이 있다면... ^^ 아 옆 모습 못 그리겠다. 근데 빨리 그려야 하니까 어떻게 손이 자료를 찾고 못 그리는 걸 그리고는 있더라. 내 생각보다 나는 그림을 못 그린다. 그래서 그림 공부 해야겠다는 생각이 들었고. 아무튼 5시부터 20년도에 적어 놓은 초고를...,밍기적,4일 전
바라클라바 제작기,오랜만(?)에 돌아온 스불재 카테고리~~ 어쩌다가 소비를 해야하는 기분이 들게 된 저는… 저번부터 눈독들이던 바라클라바 세트를 구매하게 되었습니다^^ 사실 구매에도 많은 일이 있었는데(원래 봐둔 상품의 실이 단종돼서 색까지 겨우 골라놨는데 방황하다가 결국 같은 곳...,사진일기,4일 전
